week,TREAT,REP,STATION,CARD,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,X20SPOT
33,1,4,3,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,4,3,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1,4,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,4,Old20,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,1,4,4,Old20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,1,4,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,4,4,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,4,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,4,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,4,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,4,5,Old20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,4,5,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,4,5,Old20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,4,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,5,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,5,1,Old20,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
